Epoch,Accuracy,Time (s)
0,0.6842105263157895,2.4608120918273926
1,0.6842105263157895,2.381779670715332
2,0.8421052631578947,2.301772117614746
3,0.7368421052631579,2.3620729446411133
4,0.7894736842105263,2.362269878387451
5,0.7368421052631579,2.367267370223999
6,0.7894736842105263,2.3414387702941895
7,0.7894736842105263,2.329477071762085
8,0.8947368421052632,2.4127888679504395
9,0.7894736842105263,2.4017839431762695
10,0.7894736842105263,2.4306509494781494
11,0.8421052631578947,2.3785579204559326
12,0.7894736842105263,2.349893808364868
13,0.7894736842105263,2.4005978107452393
14,0.8421052631578947,2.514293670654297
15,0.7894736842105263,2.2896244525909424
16,0.8421052631578947,2.38134765625
17,0.7368421052631579,2.373039484024048
18,0.7368421052631579,2.4171199798583984
19,0.7368421052631579,2.3889667987823486
20,0.7894736842105263,2.456563711166382
21,0.7368421052631579,2.382276773452759
22,0.7368421052631579,2.332805633544922
23,0.7894736842105263,2.387726068496704
24,0.7368421052631579,2.43412709236145
25,0.7368421052631579,2.4498116970062256
26,0.7368421052631579,2.3954412937164307
27,0.7368421052631579,2.4601054191589355
28,0.7368421052631579,2.3566460609436035
29,0.7894736842105263,2.384054660797119
30,0.7368421052631579,2.3905787467956543
31,0.7368421052631579,2.4202985763549805
32,0.7368421052631579,2.3969461917877197
33,0.7368421052631579,2.4243407249450684
34,0.7894736842105263,2.4400858879089355
35,0.7368421052631579,2.4032585620880127
36,0.7894736842105263,2.3126516342163086
37,0.7368421052631579,2.394564390182495
38,0.7894736842105263,2.38855242729187
39,0.7368421052631579,2.3448076248168945
40,0.7368421052631579,2.415595531463623
41,0.7894736842105263,2.381899356842041
42,0.7368421052631579,2.3723766803741455
43,0.7368421052631579,2.3465192317962646
44,0.7368421052631579,2.4367706775665283
45,0.7368421052631579,2.305497646331787
46,0.7368421052631579,2.450641393661499
47,0.7894736842105263,2.439147472381592
48,0.7894736842105263,2.465409755706787
49,0.7368421052631579,2.403963804244995
50,0.7368421052631579,2.395268201828003
51,0.7894736842105263,2.4332618713378906
52,0.7368421052631579,2.3904943466186523
53,0.7368421052631579,2.430652141571045
54,0.7894736842105263,2.3873379230499268
55,0.7368421052631579,2.259730339050293
56,0.7368421052631579,2.3524882793426514
57,0.7894736842105263,2.3720805644989014
58,0.7368421052631579,2.3978757858276367
59,0.7368421052631579,2.3506274223327637
60,0.7368421052631579,2.417853593826294
61,0.7894736842105263,2.4020464420318604
62,0.7894736842105263,2.431204319000244
63,0.7368421052631579,2.3281359672546387
64,0.7368421052631579,2.4446074962615967
65,0.7894736842105263,2.3959734439849854
66,0.7368421052631579,2.399024248123169
67,0.7368421052631579,2.377063512802124
68,0.7368421052631579,2.3841404914855957
69,0.7368421052631579,2.446948766708374
70,0.7368421052631579,2.374427556991577
71,0.7368421052631579,2.3708322048187256
72,0.7368421052631579,2.3829851150512695
73,0.7894736842105263,2.4748950004577637
74,0.7368421052631579,2.357715368270874
75,0.7368421052631579,2.344815492630005
76,0.7368421052631579,2.282392978668213
77,0.7894736842105263,2.3886449337005615
78,0.7368421052631579,2.4424166679382324
79,0.7368421052631579,2.3419008255004883
80,0.7368421052631579,2.407569646835327
81,0.7368421052631579,2.432544231414795
82,0.7368421052631579,2.4293692111968994
83,0.7368421052631579,2.425976514816284
84,0.7368421052631579,2.3258109092712402
85,0.7368421052631579,2.4452571868896484
86,0.7368421052631579,2.460538148880005
87,0.7894736842105263,2.460200309753418
88,0.7368421052631579,2.4737203121185303
89,0.7368421052631579,2.3969013690948486
90,0.7368421052631579,2.2942702770233154
91,0.7368421052631579,2.3711860179901123
92,0.7368421052631579,2.439091444015503
93,0.7368421052631579,2.357301712036133
94,0.7368421052631579,2.393170118331909
95,0.7368421052631579,2.29984188079834
96,0.7368421052631579,2.3925271034240723
97,0.7368421052631579,2.370831251144409
98,0.7368421052631579,2.293569326400757
99,0.7368421052631579,2.3716633319854736
100,0.7368421052631579,2.3771135807037354
101,0.7368421052631579,2.3667995929718018
102,0.7368421052631579,2.390512228012085
103,0.7368421052631579,2.4453213214874268
104,0.7368421052631579,2.359083652496338
105,0.7368421052631579,2.2514829635620117
106,0.7368421052631579,2.435275077819824
107,0.7368421052631579,2.365079402923584
108,0.7368421052631579,2.3841772079467773
109,0.7368421052631579,2.4202492237091064
110,0.7368421052631579,2.3884944915771484
111,0.7368421052631579,2.424999475479126
112,0.7368421052631579,2.4285225868225098
113,0.7368421052631579,2.4522430896759033
114,0.7368421052631579,2.4403014183044434
115,0.7894736842105263,2.496854543685913
116,0.7368421052631579,2.4757978916168213
117,0.7368421052631579,2.433699607849121
118,0.7368421052631579,2.4476892948150635
119,0.7368421052631579,2.3901493549346924
120,0.7368421052631579,2.5466091632843018
121,0.7368421052631579,2.447920560836792
122,0.7368421052631579,2.3195362091064453
123,0.7368421052631579,2.3815531730651855
124,0.7368421052631579,2.379887342453003
125,0.7368421052631579,2.3889286518096924
126,0.7368421052631579,2.3966193199157715
127,0.7368421052631579,2.4222309589385986
128,0.7368421052631579,2.414719581604004
129,0.7368421052631579,2.4616572856903076
130,0.7368421052631579,2.449831962585449
131,0.7368421052631579,2.3496458530426025
132,0.7368421052631579,2.4448769092559814
133,0.7368421052631579,2.406397581100464
134,0.7368421052631579,2.3986775875091553
135,0.7368421052631579,2.3970539569854736
136,0.7368421052631579,2.385491132736206
137,0.7368421052631579,2.412644386291504
138,0.7368421052631579,2.333672285079956
139,0.7368421052631579,2.477534770965576
140,0.7368421052631579,2.3977091312408447
141,0.7368421052631579,2.4442758560180664
142,0.7368421052631579,2.454935312271118
143,0.7368421052631579,2.3444831371307373
144,0.7368421052631579,2.4160192012786865
145,0.7368421052631579,2.47576904296875
146,0.7368421052631579,2.3977766036987305
147,0.7368421052631579,2.392204999923706
148,0.7368421052631579,2.4718821048736572
149,0.7368421052631579,2.3945300579071045
